Handle,Title,Collection,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
elizabeth-spencer-cabernet-sauvignon,Elizabeth Spencer Cabernet Sauvignon (Special Cuvée),Reds,"<p>Soft, round and jammy in raspberry, this wine also offers sage and compost—an underlying earthiness that complements its more decadent tones marked additionally in chocolate mocha.</p>",Elizabeth Spencer,Cabernet Sauvignon,"red, united states, napa valley, 88, fruit, earth, chocolate",TRUE,Title,Default Title,,,,,,,shopify,2,deny,manual,40,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-red-0.png?v=1597434626,1,,,,,,,,,,,,,,,,,,,,,
elizabeth-spencer-cabernet-sauvignon,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-red-0-label.png?v=1597434626,2,,,,,,,,,,,,,,,,,,,,,
hartford-court-pinot-noir,Hartford Court Pinot Noir,Reds,"<p>Defined tones of red fruit and tangerine, alongside bright acidity, give this wine undeniable lift and life. It is sourced from a cool-climate block within the Arrendell Vineyard. Herbal in thyme and celery seed, it delights the midpalate with length and energy, expanding on the earthy theme with lasting freshness and specks of white pepper and cardamom.</p>",Hartford Court,Pinot Noir,"red, united states, russian river valley, 84, fruit, bright, herbal, earth, spice",TRUE,Title,Default Title,,,,,,,shopify,4,deny,manual,28,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-red-1.png?v=1597434626,1,,,,,,,,,,,,,,,,,,,,,
hartford-court-pinot-noir,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-red-1-label.png?v=1597434626,2,,,,,,,,,,,,,,,,,,,,,
bartenura-malvasia-castelnuovo-don-bosco-rose,Bartenura Malvasia Castelnuovo Don Bosco Rosé,Rosés,"<p>Fresh and bright, this has an easy bouquet of wild flower and small berry notes, with a drying mineral touch. Pair this with Thai spring rolls.</p>",Bartenura,Rosé,"rosé, italy, piedmont, 84, bright, floral, berry",TRUE,Title,Default Title,,,,,,,shopify,2,deny,manual,17,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-rose-0.png?v=1597434642,1,,,,,,,,,,,,,,,,,,,,,
bartenura-malvasia-castelnuovo-don-bosco-rose,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-rose-0-label.png?v=1597434642,2,,,,,,,,,,,,,,,,,,,,,
merry-edwards-sauvignon-blanc,Merry Edwards Sauvignon Blanc,Whites,"<p>Rich and rounded in stone fruit, pineapple and mango flavors, this hearty white is made in a substantial, full-bodied style that is opulently lush. A length of complementary oak adds to the complexity and integration, finishing in a snap of crème brûlée.</p>",Merry Edwards,Sauvignon Blanc,"white, united states, russian river valley, 90, fruit, wood",TRUE,Title,Default Title,,,,,,,shopify,4,deny,manual,37,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-white-0.png?v=1597434657,1,,,,,,,,,,,,,,,,,,,,,
merry-edwards-sauvignon-blanc,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-white-0-label.png?v=1597434656,2,,,,,,,,,,,,,,,,,,,,,
grgich-hills-chardonnay,Grgich Hills Chardonnay,Whites,"<p>After opening to touches of oak and reduction, this white evolves into a lovely swan, beautifully structured and deep in texture and flavor. Pear, apple and pineapple wrap around toast and dried herb, finishing strong and supple. This will do well with further aging; enjoy 2021–2026.</p>",Grgich Hills,Chardonnay,"white, united states, napa valley, 93, wood, fruit, herbal",TRUE,Title,Default Title,,,,,,,shopify,5,deny,manual,25,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-white-1.png?v=1597434656,1,,,,,,,,,,,,,,,,,,,,,
grgich-hills-chardonnay,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0458/5186/9347/files/wine-white-1-label.png?v=1597434656,2,,,,,,,,,,,,,,,,,,,,,
